"Kamala D. Harris and TimWalz",Democratic,"8,159","6,407","8,152",720,"23,438",43.25%
"Donald J. Trump and JDVance",Republican,"14,650","10,052","3,883",776,"29,361",54.18%
"Chase Oliver and Mike terMaat",Libertarian,80,132,71,14,297,0.55%
"Jill Ellen Stein and RudolphWare",Green,56,110,62,4,232,0.43%
"Robert F. Kennedy, Jr. andNicole Shanahan",Unaffiliated,188,237,112,17,554,1.02%
Sharon E Harris (Write In),Democratic,0,0,0,0,0,0.00%
Ralph Jaffe (Write In),Democratic,1,0,0,0,1,0.00%
"Paij Boring and JaimeyRutschman (Write In)",Republican,2,0,0,0,2,0.00%
Sethatina Newman (Write In),Republican,0,0,0,0,0,0.00%
Carol Asher (Write In),"OtherCandidates",0,0,0,0,0,0.00%
"Jokie Beckett, Jr. (Write In)","OtherCandidates",0,0,0,0,0,0.00%
"Claudia De la Cruz andKarina Garcia (Write In)","OtherCandidates",4,3,1,0,8,0.01%
"John R. Gibb, Jr. (Write In)","OtherCandidates",0,0,0,0,0,0.00%
Joseph Kishore (Write In),"OtherCandidates",0,0,0,0,0,0.00%
William P. Stodden (Write In),"OtherCandidates",0,0,0,0,0,0.00%
"Shiva Ayyadurai and CrystalEllis (Write In)",Unaffiliated,2,1,0,0,3,0.01%
President R. Boddie (Write In),Unaffiliated,0,0,0,0,0,0.00%
"Theo Brown, Sr. (Write In)",Unaffiliated,0,0,0,0,0,0.00%
"Susan Maude Buchser (WriteIn)",Unaffiliated,0,0,0,0,0,0.00%
"John Cheng and WayneWaligorski (Write In)",Unaffiliated,0,0,0,0,0,0.00%
Cherunda Fox (Write In),Unaffiliated,0,0,0,0,0,0.00%
"Garry Hubbard and ElizabethSeymour (Write In)",Unaffiliated,0,0,0,0,0,0.00%
Shondra Irving (Write In),Unaffiliated,0,0,0,0,0,0.00%
Douglas Jenkins (Write In),Unaffiliated,0,0,0,0,0,0.00%
Brian Larry Kienitz (Write In),Unaffiliated,0,0,0,0,0,0.00%
Richard Mayers (Write In),Unaffiliated,0,0,0,0,0,0.00%
"Andrè Ramon McNeil, Sr.(Write In)",Unaffiliated,0,0,0,0,0,0.00%
"Future Madam Potus andJessica Kennedy (Write In)",Unaffiliated,0,0,0,0,0,0.00%
"Benjamin L. Schwalb (WriteIn)",Unaffiliated,0,0,0,0,0,0.00%
Peter Sonski (Write In),Unaffiliated,4,1,6,0,11,0.02%
"Lester H. Waller, Jr. (Write In)",Unaffiliated,0,0,0,0,0,0.00%
"Cornel West and MelinaAbdullah (Write In)",Unaffiliated,2,5,2,0,9,0.02%
Michael Yost (Write In),Unaffiliated,0,1,0,0,1,0.00%
Other Write-Ins,,75,114,80,5,274,0.51%
